2021,38.2971367,-122.2855293,0.2127364781279331,7.168307685792637,29.0,4.0,0.1493782383419689,10.0,73.0,0.0,17.09483870967742,1.18
2020,38.2971367,-122.2855293,0.251208970033821,12.225391654531222,73.0,3.0,0.027840909090909,17.0,57.0,1.0,15.233225806451612,4.5
2019,38.2971367,-122.2855293,0.2198533085978699,6.959674107894382,58.0,4.0,0.3157303370786517,11.0,52.0,0.0,15.071129032258066,30.7
2018,38.2971367,-122.2855293,0.2139562252927497,6.207925184706982,67.0,7.0,0.4037340619307832,3.0,68.0,0.0,16.054112903225803,1.25
2017,38.2971367,-122.2855293,0.2217648583939997,13.114877048604,54.0,4.0,0.0008720930232558,19.0,46.0,0.0,15.661129032258067,0.0
2016,38.2971367,-122.2855293,0.1797806498226089,7.379349946367023,122.0,4.0,0.0574999999999999,7.0,55.0,0.0,15.418870967741936,4.1
2015,38.2971367,-122.2855293,0.2026566007056696,12.876019023390446,45.0,2.0,0.0451351351351351,13.0,61.0,0.0,16.645672043010755,0.0
2014,38.2971367,-122.2855293,0.1901509604546167,,83.0,3.0,0.0,8.0,52.0,0.0,18.81693548387097,0.0
2013,38.2971367,-122.2855293,0.189360760639813,8.113643960047156,45.0,3.0,0.0408108108108108,13.0,46.0,0.0,17.50510752688172,0.15
2012,38.2971367,-122.2855293,0.2353828289918373,6.305684412394685,108.0,6.0,0.6959016393442623,8.0,62.0,0.0,17.045967741935485,1.0
2011,38.2971367,-122.2855293,0.2488484173696277,5.5729906194803,84.0,10.0,0.2461988304093567,5.0,70.0,0.0,16.466397849462364,35.25
2010,38.2971367,-122.2855293,0.2439451593290018,10.515262277257726,32.0,5.0,0.0670731707317073,7.0,76.0,0.0,17.744354838709675,0.0
2009,38.2971367,-122.2855293,0.2284628861869572,11.819816889864216,60.0,5.0,0.0161849710982658,21.0,54.0,0.0,18.888440860215056,2.5
2008,38.2971367,-122.2855293,0.2635577668790828,13.56465996625054,69.0,3.0,0.0070652173913043,20.0,64.0,0.0,19.945698924731182,0.0
2007,38.2971367,-122.2855293,0.2082687783699005,13.114877048604002,60.0,4.0,0.0441860465116279,9.0,61.0,0.0,19.671505376344093,0.0
2006,38.2971367,-122.2855293,0.2748218878412851,12.36931687685298,84.0,9.0,0.0183006535947712,14.0,50.0,1.0,17.167204301075266,0.0
2005,38.2971367,-122.2855293,0.2004560000178961,5.578329789859128,29.0,7.0,0.1392638036809816,1.0,78.0,0.0,19.729838709677423,4.3
2004,38.2971367,-122.2855293,0.1768835134171603,,0.0,188.0,,7.0,76.0,0.0,17.06896551724138,0.0
2003,38.2971367,-122.2855293,0.2325571623991255,,0.0,192.0,,6.0,88.0,0.0,15.060655737704916,0.0
2002,38.2971367,-122.2855293,0.2371824413216466,,0.0,189.0,,5.0,97.0,0.0,15.871186440677963,0.0
2001,38.2971367,-122.2855293,0.2126193263336138,,0.0,189.0,,4.0,88.0,2.0,14.85,0.0
2000,38.2971367,-122.2855293,0.2072349937292479,,0.0,149.0,,4.0,61.0,0.0,17.65675675675676,0.0
1999,38.2971367,-122.2855293,0.242821507173754,,0.0,117.0,,14.0,23.0,0.0,22.251351351351357,0.0
1998,38.2971367,-122.2855293,0.2986370236519164,,0.0,106.0,,18.0,35.0,0.0,25.048148148148154,0.0
1997,38.2971367,-122.2855293,0.1660383885429746,,0.0,137.0,,7.0,19.0,0.0,23.939130434782605,0.0
1996,38.2971367,-122.2855293,0.2415209098644112,,0.0,188.0,,25.0,51.0,0.0,23.66,0.0
1995,38.2971367,-122.2855293,0.2514420033811141,,0.0,188.0,,21.0,40.0,0.0,25.216666666666665,0.0
1994,38.2971367,-122.2855293,0.1827694395751779,,0.0,191.0,,11.0,39.0,0.0,28.251612903225805,0.0
1993,38.2971367,-122.2855293,0.2215472346814367,,0.0,146.0,,14.0,28.0,0.0,22.693103448275863,0.0
1992,38.2971367,-122.2855293,0.1899891694327091,,0.0,193.0,,13.0,24.0,0.0,27.82258064516129,0.0
1991,38.2971367,-122.2855293,0.2749971332799489,,0.0,193.0,,9.0,72.0,0.0,27.074193548387097,0.0
2021,35.4228648,-119.9038877,0.2220314768977962,6.040308791938731,65.0,3.0,0.075360824742268,3.0,55.0,0.0,11.812903225806451,0.3
2020,35.4228648,-119.9038877,0.2327816165720738,4.757471184196412,107.0,5.0,0.4793814432989691,8.0,44.0,0.0,12.320698924731184,4.05
2019,35.4228648,-119.9038877,0.2174151459475455,5.657207416221747,94.0,3.0,0.2372852233676975,15.0,44.0,0.0,12.041935483870969,33.483333333333334
2018,35.4228648,-119.9038877,0.2231890083389062,6.654705564709487,117.0,5.0,0.2877147766323024,23.0,38.0,0.0,12.608333333333334,0.1666666666666666
2017,35.4228648,-119.9038877,0.2180066705130685,7.363841860853322,94.0,2.0,0.0934707903780068,31.0,36.0,0.0,12.26021505376344,0.3
2016,35.4228648,-119.9038877,0.1986707686602976,6.264865589287509,119.0,4.0,0.174914089347079,20.0,39.0,0.0,12.353763440860211,0.15
2015,35.4228648,-119.9038877,0.1915247421273105,6.598626729925661,63.0,2.0,0.1162371134020618,17.0,40.0,0.0,12.10215053763441,4.8
2014,35.4228648,-119.9038877,0.1847583773190858,5.982530783166682,124.0,5.0,0.1097079037800687,13.0,37.0,0.0,12.23548387096774,0.0
2013,35.4228648,-119.9038877,0.1847552182032776,8.081892546424463,109.0,1.0,0.0146907216494845,14.0,40.0,0.0,12.58548387096774,0.0999999999999999
