Napa,United States,38.2971367,-122.2855293
Carneros Valley,United States,35.4228648,-119.9038877
California,United States,36.7014631,-118.755997
Oregon,United States,43.9792797,-120.737257
Washington,United States,38.8950368,-77.0365427
Mendoza,Argentina,-34.78709305,-68.43818677312292
Adelaide,Australia,-34.9281805,138.5999312
Victoria,Australia,-36.5986096,144.6780052
Chile,Chile,-31.7613365,-71.3187697
Alsace,France,48.24917645,7.4074699518555
Médoc,France,44.5563705,-0.0385057
Saint-Émilion,France,44.8931452,-0.1560662
Sauternes,France,44.5327805,-0.341386
Bordeaux,France,44.841225,-0.5800364
Côtes de Beaune,France,46.9802851,4.7837092
Vougeot,France,47.1772352,4.9643152
Burgundy,France,47.27808725,4.222486304306048
Champagne,France,45.831944,-0.906667
Loire,France,45.75385355,4.045473682551104
Rhône,France,45.8802348,4.564533629559522
Rheingau,Germany,50.3284037,7.7287053
Piedmont,Italy,45.060735,7.923549
"Tuscany, Bolgheri",Italy,43.2340065,10.6179334
Brunello di Montalcino,Italy,43.056576,11.5038166
"Tuscany, Chianti",Italy,43.5824597,11.3168731
New Zealand,New Zealand,-41.5000831,172.8344077
Coimbra,Portugal,40.2111931,-8.4294632
Portugal,Portugal,39.6621648,-8.1353519
South Africa,South Africa,-28.8166236,24.991639
Priorat,Spain,41.2137983,0.811623628426715
Ribera del Duero,Spain,41.66575665,-3.686329463971761
Rioja,Spain,42.3285528,-2.4674917
Santa Barbara,United States,34.4221319,-119.702667
Sonoma,United States,38.5110803,-122.8473388
Paso Robles,United States,35.6262618,-120.6901319
Austria,Austria,47.59397,14.12456
