Vintage,Score,Drink Window,Description,Country,Region,Variety,Vola_Temp,Vola_Rain,Longest_Dry,Longest_Wet,Avg_Rain,Count_above35,Count_under10,Count_under0,Coulure_Wind,June_Rain
2011,86,Drink or hold,"Rare rainy harvest proved it can happen; few sunny spots, variable quality  (See all ratings)",United States,Napa,Cabernet,0.2488484173696277,5.5729906194803,84.0,10.0,0.2461988304093567,5.0,70.0,0.0,16.466397849462364,35.25
2010,96,Drink or hold,"Cool, steady year; wines show exceptional quality, tight, dense and layered  (See all ratings)",United States,Napa,Cabernet,0.2439451593290018,10.515262277257726,32.0,5.0,0.0670731707317073,7.0,76.0,0.0,17.744354838709675,0.0
2009,96,Drink or hold,"Late, cool year yielding a surprise bounty of pure, opulent wines  (See all ratings)",United States,Napa,Cabernet,0.2284628861869572,11.819816889864216,60.0,5.0,0.0161849710982658,21.0,54.0,0.0,18.888440860215056,2.5
2008,96,Drink or hold,Frost year lowered yields but not quality; unique for its depth and concentration  (See all ratings),United States,Napa,Cabernet,0.2635577668790828,13.56465996625054,69.0,3.0,0.0070652173913043,20.0,64.0,0.0,19.945698924731182,0.0
2007,97,Drink or hold,"Textbook year; small crop, ideal ripening, wines defined by complexity and plush tannins  (See all ratings)",United States,Napa,Cabernet,0.2082687783699005,13.114877048604002,60.0,4.0,0.0441860465116279,9.0,61.0,0.0,19.671505376344093,0.0
2006,95,Drink,"A late, cool harvest produced dense, concentrated and ageworthy wines  (See all ratings)",United States,Napa,Cabernet,0.2748218878412851,12.36931687685298,84.0,9.0,0.0183006535947712,14.0,50.0,1.0,17.167204301075266,0.0
2005,92,Drink,"Record-size crop; best are elegant and balanced, yet many are tannic and drying out  (See all ratings)",United States,Napa,Cabernet,0.2004560000178961,5.578329789859128,29.0,7.0,0.1392638036809816,1.0,78.0,0.0,19.729838709677423,4.3
2004,95,Drink or hold,"Small crop of exceptional quality; ripe, elegant, concentrated and harmonious  (See all ratings)",United States,Napa,Cabernet,0.1768835134171603,,0.0,188.0,,7.0,76.0,0.0,17.06896551724138,0.0
2003,85,Past peak,Uneven ripeness; austere and tannic in style. More like 2000 than 2001 or 2002  (See all ratings),United States,Napa,Cabernet,0.2325571623991255,,0.0,192.0,,6.0,88.0,0.0,15.060655737704916,0.0
2002,93,Drink,"Superb in Napa; dense and rich, rivaling 2001 for depth and complexity  (See all ratings)",United States,Napa,Cabernet,0.2371824413216466,,0.0,189.0,,5.0,97.0,0.0,15.871186440677963,0.0
2001,93,Drink,Excellent weather; many stunning wines but also a few disappointments  (See all ratings),United States,Napa,Cabernet,0.2126193263336138,,0.0,189.0,,4.0,88.0,2.0,14.85,0.0
