Vintage,Score,Drink Window,Description,Country,Region,Variety
2010,93,Drink or hold,"A small crop, but top wines offer fine concentration and balance firm structure with finesse  (See all ratings)",France,Alsace,Alsace
2009,94,Drink or hold,"Lithe, lively dry wines, offering fine concentration and balance; VTs and SGNs show great purity  (See all ratings)",France,Alsace,Alsace
2008,94,Drink or hold,Racy dry whites that pair intense acidity and backbone with pure fruit flavors; very little botrytis  (See all ratings),France,Alsace,Alsace
2007,95,Drink or hold,"Vibrant wines with great balance, purity and overall elegance; outstanding VT and SGN  (See all ratings)",France,Alsace,Alsace
2006,89,Drink,"Firm, dry wines with up-front flavors and character; high-quality VT and SGN, particularly Gewürztraminer and Pinot Gris  (See all ratings)",France,Alsace,Alsace
2005,94,Drink or hold,"Ripe wines with great balancing acidity. Very good Riesling, Pinot Gris and Gewürztraminer and outstanding VT and SGN  (See all ratings)",France,Alsace,Alsace
2004,92,Drink or hold,"Great clarity, finesse and balance for top wines; some are dilute as a result of high yields  (See all ratings)",France,Alsace,Alsace
2003,88,Past peak,Exceptionally hot and dry year with little botrytis; many wines lack structure. Stick to top producers  (See all ratings),France,Alsace,Alsace
2002,92,Drink or hold,"Ripe, vibrant whites with high acidity; fine Riesling, Gewürztraminer and Pinot Gris, excellent VTs and SGNs  (See all ratings)",France,Alsace,Alsace
2001,94,Drink or hold,"Indian summer resulted in ripe, elegant wines, some enriched by botrytis; great VTs and SGNs  (See all ratings)",France,Alsace,Alsace
2000,93,Drink or hold,Ripe and vibrant; botrytis allowed fine late-harvest wines. A great Riesling year  (See all ratings),France,Alsace,Alsace
2022,95–98,NYR,"A new paradigm for Bordeaux, with very warm and dry weather continuing from the beginning of the season all the way through harvest, punctuated by well-timed rains in June and August. Very aromatic and sleek, fresh and pure in feel, with all major varietals performing well; far more consistent than the 2018-2020 trio  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2021,87–90,NYR,"Possibly the most heterogeneous vintage in a generation; the crop was the second smallest of the century following a severe spring frost and heavy midsummer rains. July and August were cooler than normal, while warm September weather saved the day. Fresh and modest in scale, the wines will mature on the earlier side  Château Pichon Baron Pauillac  Top-scoring wines (click for full tasting note):


Château Léoville Las Cases St.-Julien


Château Lynch Bages Pauillac


Château Pichon Baron Pauillac",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2020,93,Hold,"The run continues of high quality yet heterogeneous vintages. A rainy winter provided ample water reserves, but the rain stretched into spring, leading to severe mildew pressures. Summer turned hot and dry, and harvest ran early, spurred by the heat. Some excellent wines, though others show grainy textures and slightly muddled fruit  Château Grand-Puy-Lacoste Pauillac  Top-scoring wines (click for full tasting note):


Château Pichon Baron Pauillac


Château Pichon Longueville Lalande Pauillac


Château Grand-Puy-Lacoste Pauillac",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2019,93,Hold,"Summer was extremely hot and dry, but well-spaced rains prevented maturity blockage, with a late-running harvest after a mid-September rain favoring Cabernet Sauvignon. Wines are richly fruited, but tannins are the issue; the best are refined, others slightly austere. Upper Médoc is the highlight, but very heterogeneous overall  Château Mouton-Rothschild Pauillac  Top-scoring wines (click for full tasting note):


Château Lafite Rothschild Pauillac


Château Léoville Las Cases St.-Julien


Château Mouton-Rothschild Pauillac",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2018,96,Hold,"Extreme conditions early led to severe mildew pressure that reduced yields at some estates, yet dry and warm weather starting in mid-July saved the vintage. The best reds are dense and tannic, with slightly higher alcohol and lower acidity, but terrific drive and definition  Château Margaux Margaux  Top-scoring wines (click for full tasting note):


Château Latour Pauillac


Château Haut-Brion Pessac-Léognan


Château Margaux Margaux",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2017,91,Drink or hold,"Warm and dry year ran early all season; southern areas most affected by spring frost, while Médoc generally spared. Well-timed rains prevented maturity blockage, but September diluted earlier-ripening Merlot. Wines are fresh and pure; best in Pauillac and St.-Julien, other AOCs more heterogeneous  Château Haut-Brion Pessac-Léognan  Top-scoring wines (click for full tasting note):


Château Latour Pauillac


Château Mouton-Rothschild Pauillac


Château Haut-Brion Pessac-Léognan",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2016,97,Hold,"A year of extremes, with a very rainy spring backed by a very dry summer. Cabernet relished the drought, yielding reds that are ripe and tannic, but also racy, fresh and full of aromas; yields normal to above normal. Upper Médoc superb, with St.-Estèphe, Pauillac and St.-Julien the epicenter of quality  Château Latour Pauillac  Top-scoring wines (click for full tasting note):


Château Haut-Brion Pessac-Léognan


Château Lafite Rothschild Pauillac


Château Latour Pauillac",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2015,94,Hold,"Extremely dry season saved by rain at veraison led to an even crop of ripe and lush reds. Later rains hampered some parts of the upper Médoc. Margaux is truly special, St. Julien and Pessac superb  Château Ducru-Beaucaillou St.-Julien  Top-scoring wines (click for full tasting note):


Château Margaux Margaux


Château Haut-Brion Pessac-Léognan


Château Ducru-Beaucaillou St.-Julien",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2014,93,Hold,"A good spring was followed by a gray, humid summer, but dry weather and a long harvest period through September and October saved the vintage. Best in the upper Médoc with Cabernet Sauvignon and Franc, along with Petit Verdot, relishing the late harvest; less dynamic in Margaux and Pessac  Château Mouton-Rothschild Pauillac  Top-scoring wines (click for full tasting note):


Château Latour Pauillac


Château Haut-Brion Pessac-Léognan


Château Mouton-Rothschild Pauillac",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2013,84,Drink,"Cool start and very wet finish saved by warm, dry July and August. Disease pressure was very high and harvest on the early side. Reds are light and easy; Margaux least successful of Left Bank AOCs  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2012,88,Drink or hold,"Cool and wet early led to uneven crop set and disease pressure, while dry, hot August resulted in some blocked ripening; September rains helped, but harvest window was short before October rains arrived, leaving some Cabernets marked by taut tannins; Pessac and Margaux favored over upper Médoc; more inconsistent overall than Right Bank  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2011,91,Drink or hold,"Dry and hot early, then cool and wet late. Yields down due to small berries. Fresh fruit and bright acidity are prominent; tannins are strident but ripe, with lower alcohols  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2010,99,Hold,"Ripe and powerful, with racy tannins and acidity for balance. More structure-driven than the opulent 2009, with better definition of fruit; should be very long-lived  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2009,97,Drink or hold,"Lush, rich and beautifully polished reds. Top Médoc estates made glorious wines; Pessac also excelled  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2008,87,Drink,"Damp, gray growing season led to disease pressure; Indian summer in September saved the vintage. Wines are fresh rather than dense, with sometimes crisp acidity  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2007,85,Drink,Inconsistent; look to top names for delicacy and balance  (See all ratings),France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2006,90,Drink or hold,"Best are solid, tannic and racy; others slightly hollow  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2005,98,Hold,"Fabulous aromas and great length; wines with depth, structure and finesse  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2004,89,Drink or hold,"Overlooked vintage with round, supple tannins and charming fruit  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2003,95,Drink or hold,"Exotic and powerful, with big, velvety tannins  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2002,86,Drink,"Cool-style clarets, with firm tannins; stick to top names  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2001,92,Drink or hold,"Sleeper vintage; balanced, fruity and structured  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2000,95,Drink or hold,Racy tannins and very delineated reds now hitting their stride  (See all ratings),France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
1999,87,Drink or hold,Fruity and balanced; some wines slightly green  (See all ratings),France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
1998,88,Drink,Very good quality despite rain at harvest  (See all ratings),France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
1997,85,Drink,Tropical August; light and pleasant wines  (See all ratings),France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
1996,91,Drink,"Wet August, yet Cabernets still excellent; firm  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
1995,95,Drink or hold,"Harmonious, rich and structured; long-lived  (See all ratings)",France,"Médoc, Pessac-Léognan","Bordeaux/Left Bank Reds (Médoc, Pessac-Léognan)"
2022,95–98,NYR,"A beautiful vintage, marked by very warm and dry weather right from the start, continuing on through harvest, with well-timed rains in June and August. Merlot berries were small and concentrated; Cabernet Franc also relished the conditions. Wines are very aromatic and sleek, with Pomerol and St.-Emilion excelling  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2021,86–89,NYR,"As with the Left Bank, this is the most heterogeneous vintage in a generation, with a small crop due to frost and an extremely rainy June. Temperatures were cooler than normal in July and August, while warm September weather saved the day, barely. Yields lower than on the Left Bank; wines are fresh and easygoing  Château La Fleur-Pétrus Pomerol  Top-scoring wines (click for full tasting note):


Château Cheval Blanc St.-Emilion


Château Hosanna Pomerol


Château La Fleur-Pétrus Pomerol",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2020,92,Hold,"Another imperfect and heterogeneous season. A rainy winter gave vineyards ample water reserves, but the rain stretched into spring, leading to severe mildew pressures. Summer turned hot and dry, but the Right Bank escaped the heavy August rain, with Pomerol looking particularly strong; clay soils were key  Château Trotanoy Pomerol  Top-scoring wines (click for full tasting note):


Château Cheval Blanc St.-Emilion


Château Figeac St.-Emilion


Château Trotanoy Pomerol",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2019,92,Hold,"A similar growing season to the Left Bank, with hot and dry conditions and heat waves in June and July favoring cooler with good water retention—Pomerol with its clay soils and St.-Emilion with its limestone, both yielding superb wines. Very inconsistent outside of the elite areas  Château Trotanoy Pomerol  Top-scoring wines (click for full tasting note):


Château Cheval Blanc St.-Emilion


Château Pavie St.-Emilion


Château Trotanoy Pomerol",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2018,94,Hold,"Rainy first half of season tapered off sooner than the Left Bank, with dry conditions in the second half favoring clay and limestone soils, yet the wines are more inconsistent overall, with some beautiful examples, but others showing slightly austere, herbaceous profiles; late-ripening Cabernet Franc a key player  Château Bellevue-Mondotte St.-Emilion  Top-scoring wines (click for full tasting note):


Château Pavie St.-Emilion


Château Cheval Blanc St.-Emilion


Château Bellevue-Mondotte St.-Emilion",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2017,93,Drink or hold,"Warm, dry growing season, with spring frost hitting low-lying areas of St.-Emilion and satellites particularly hard. Cloudy July kept wines on the fresh, pure side, with good acidity and modest tannins. St.-Emilion atop the limestone plateau is excellent, Pomerols are fleshy and forward  Vieux Château Certan Pomerol  Top-scoring wines (click for full tasting note):


Château Le Pin Pomerol


Pétrus Pomerol


Vieux Château Certan Pomerol",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2016,94,Drink or hold,"Same pattern as Left Bank, with rainy start, dry finish. Clay-based soils weathered the dry period best, limestone also strong; young vines and Pomerol's sandy soils the only weak spot, but otherwise a very homogenous vintage  Château Pavie St.-Emilion  Top-scoring wines (click for full tasting note):


Château Cheval Blanc St.-Emilion


Château Le Pin Pomerol


Château Pavie St.-Emilion",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2015,97,Hold,"Extremely warm and dry growing season favored the Right Bank's clay and limestone soils. St.-Emilion the sweet spot; Pomerols are rich and layered. Values abound in Castillon and Fronsac  La Mondotte St.-Emilion  Top-scoring wines (click for full tasting note):


Château Cheval Blanc St.-Emilion


Château Pavie St.-Emilion


La Mondotte St.-Emilion",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2014,91,Drink or hold,"A good spring was followed by a grey, humid summer, with slightly more rainfall than on the Left Bank. Merlot solid, but wines with Cabernet Franc the sweet spot as well-drained gravel soils were favored over clay  Château Pavie St.-Emilion  Top-scoring wines (click for full tasting note):


Château Cheval Blanc St.-Emilion


Château Le Pin Pomerol


Château Pavie St.-Emilion",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2013,86,Drink,"Merlot generally soft and forward but prime spots on limestone and gravel handled late rains better. Cabernet Franc also performed well, bolstering Pomerol and St.-Emilion. Generally more consistent than on Left Bank but still for early consumption  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2012,90,Drink,"Early-ripening Merlot favored in general over Left Bank Cabernet. Clay soils with good water retention kept vines going during August drought, while gravel easily drained off the later rains. Pomerol very solid; St.-Emilion more inconsistent with some wines prone to overextraction  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2011,91,Drink,"Pomerols generally fresh and ripe; St.-Emilion Cabernet Franc excelled, buttressing the Merlot. Solid vintage that should age nicely, like 2001 and 2004  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2010,98,Hold,Dry but not warm season led to powerful wines. Merlot sports slightly higher alcohols; Cabernet Franc excelled. Pomerol and St.-Emilion superb; terrific values through Castillon and Fronsac  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2009,96,Drink or hold,"Rich and powerful, yet round and friendly, with velvety texture and loads of fruit. Pomerol excelled with St.-Emilion more variable. Don't overlook Fronsac and Castillon  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2008,88,Drink,"After a difficult growing season, late September weather allowed early-ripening Merlot to catch up. Right Bank wines fleshier than Left Bank  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2007,86,Drink,"Aromatic and lightly fruity, with fine tannins. Some wines overextracted  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2006,89,Drink,Top vineyards made balanced reds; others slightly austere  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2005,97,Hold,"Opulent and powerful, with solid backbones of tannins and acidity. Amazing Pomerols  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2004,88,Drink or hold,"Mostly balanced, firm and delicate; some Cabernet Franc-based wines excellent  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2003,94,Hold,Extremely ripe and rich; some wines too jammy  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2002,87,Drink,"Balanced and fruity, but lacking some tannin backbone  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2001,89,Drink,"Very good quality; ripe tannins, refined style  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2000,93,Drink or hold,"Rich, powerful and structured, yet harmonious. Wines starting to open up now  (See all ratings)",France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
1999,85,Drink,Aromatic and delicate; for early drinking  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
1998,95,Drink or hold,Muscular and rich; much better than Left Bank  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
1997,86,Drink,Soft and friendly wines; fresh style  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
1996,87,Drink,Medium-bodied wines; slightly diluted  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
1995,95,Drink or hold,Harmonious yet structured; lovely fruit  (See all ratings),France,"Pomerol, St.-Emilion","Bordeaux/Right Bank Reds (Pomerol, St.-Emilion)"
2020,89,Drink or hold,"Hail early in the season clipped the crop (there is no Climens, for example), while the dry second half hampered the growth of botrytis. Wines are juicy and tropical in profile, but without the range of an outstanding year  Château Guiraud Sauternes  Top-scoring wines (click for full tasting note):


Château d'Yquem Sauternes


Château de Fargues Sauternes


Château Guiraud Sauternes",France,Sauternes,Bordeaux/Sauternes
2019,91,Drink or hold,"A hot, dry growing season led to ripe and healthy grapes, but only a single wave of botrytis, rather than multiple waves, with many growers making just one . Wines are ripe, juicy and fresh in profile, despite the hot year, but they lack the complexity of top vintages with multiple   Château Doisy Daëne Barsac L'Extravagant  Top-scoring wines (click for full tasting note):


Château d'Yquem Sauternes


Château de Fargues Sauternes


Château Doisy Daëne Barsac L'Extravagant",France,Sauternes,Bordeaux/Sauternes
2018,89,Drink or hold,"Mildew pressure early in the season and a hailstorm midway through curtailed yields severely, and as in 2016 a very dry second half of the season denuded the potential for waves of botrytis infection during harvest. Wines are ripe, round and forward, but lack the complexity of top years  Château Doisy Daëne Barsac L'Extravagant  Top-scoring wines (click for full tasting note):


Château d'Yquem Sauternes


Château de Fargues Sauternes


Château Doisy Daëne Barsac L'Extravagant",France,Sauternes,Bordeaux/Sauternes
2017,91,Drink or hold,"Spring frost hit Barsac hard, Sauternes less so, reducing yields; dry and warm season led to healthy grapes, with late-season rains kicking off a very fast botrytis infection as grapes were ripe. Growers had to move fast, most picking just two or three ; wines are juicy and forward, with tropical fruit profiles  Château Doisy Daëne Barsac L'Extravagant  Top-scoring wines (click for full tasting note):


Château d'Yquem Sauternes


Château de Fargues Sauternes


Château Doisy Daëne Barsac L'Extravagant",France,Sauternes,Bordeaux/Sauternes
2016,90,Drink or hold,"Second half of growing season was extremely dry, affecting botrytis. Grapes were ripe and healthy, but botrytis arrived late, in only one or two waves, rather than in multiple waves. Wines are fresh and friendly, but without the complexity of great years; Barsac has a bit more energy than Sauternes  Château Doisy Daëne Barsac L'Extravagant  Top-scoring wines (click for full tasting note):


Château de Fargues Sauternes


Château d'Yquem Sauternes


Château Doisy Daëne Barsac L'Extravagant",France,Sauternes,Bordeaux/Sauternes
2015,94,Hold,"Growing season was warm and dry early, cool and wet late. Rains were light, though, and separated by periods of dry weather, allowing for waves of botrytis growth and leisurely picking. Wines are fresh and pure in style  Château de Fargues Sauternes  Top-scoring wines (click for full tasting note):


Château d'Yquem Sauternes


Château Climens Barsac


Château de Fargues Sauternes",France,Sauternes,Bordeaux/Sauternes
2014,96,Hold,"After a dry, cool growing season, initial harvests brought in fresh, racy fruit. Botrytis was spurred after a long Indian summer, allowing for successive pickings of more tropical styled, botrytis-affected fruit. The combination should make for a special vintage  Château Climens Barsac  Top-scoring wines (click for full tasting note):


Château d'Yquem Sauternes


Château de Fargues Sauternes


Château Climens Barsac",France,Sauternes,Bordeaux/Sauternes
2013,93,Hold,"Botrytis spread quickly during a rainy September and October, with just enough breaks to allow grapes to concentrate. Both Sauternes and Barsac excellent, with fresh, racy styled wines. A cross in style between the racy '11 and flattering '07, with a bit less zip and concentration  Château de Fargues Sauternes  Top-scoring wines (click for full tasting note):


Château d'Yquem Sauternes


Château Climens Barsac


Château de Fargues Sauternes",France,Sauternes,Bordeaux/Sauternes
2012,86,Drink,"Botrytis formed but with constant rains and no warm, sunny patches during harvest, the grapes couldn't get concentration. Best Sauternes are friendly, but loosely knit and lack complexity; some top châteaus did not produce grand vins. Barsac fared much better, with some excellent wines  Château Coutet Barsac  Top-scoring wines (click for full tasting note):


Château Climens Barsac


Château Doisy Daëne Barsac L'Extravagant


Château Coutet Barsac",France,Sauternes,Bordeaux/Sauternes
2011,97,Hold,"Botrytis arrived early and spread quickly; a cool second half of season allowed grapes to retain acidity. Wines are racy, detailed, pure and driven  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2010,93,Hold,"Botrytis arrived late and quickly. Wines are ripe and juicy, with tropical fruit character. Barsac shows more freshness than Sauternes. Not as dense as '01 or '09  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2009,96,Hold,"Terrific companion vintage to the reds, with ripe, powerful botrytis character and rich texture with freshness and balance  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2008,90,Drink,"Marked by tangy acidity; not broadly ripe, but some are showy enough  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2007,92,Drink or hold,"Lots of botrytis led to a rich, tropical fruit and raisined-style vintage with rounded, hedonistic wines  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2006,91,Drink or hold,"Not as dense as top years, but fresh, vibrant wines with lively acidity  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2005,93,Hold,"Opulent and structured, with underlying finesse  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2004,89,Drink,"Harmonious, aromatic and spicy; for early drinking  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2003,95,Drink or hold,"Exotic, ripe and spicy; good botrytis  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2002,87,Drink,"Small crop; clean and spicy, with good fruit  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2001,97,Drink or hold,"Magnificently rich and structured, yet balanced  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
2000,87,Drink,Most of the crop was rained on; only small quantities of good wine  (See all ratings),France,Sauternes,Bordeaux/Sauternes
1999,90,Drink,"Creamy, rich and spicy  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1998,88,Drink,"Elegant, refined and delicious  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1997,92,Drink or hold,"Balanced, racy and structured; classy  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1996,89,Drink,"Spicy, rich and round; generous style  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1995,87,Drink,Sweet and balanced; uneven quality  (See all ratings),France,Sauternes,Bordeaux/Sauternes
1992,72,Past peak,"Light, straightforward, diluted and medium sweet  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1991,77,Past peak,"Moderately sweet, attractive apertif wines  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1990,97,Drink,"Harmonious, rich and racy  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1989,98,Drink,Loads of botryitis; opulent and structured  (See all ratings),France,Sauternes,Bordeaux/Sauternes
1988,93,Drink,Elegant and refined  (See all ratings),France,Sauternes,Bordeaux/Sauternes
1987,79,Past peak,"Clean and appealing, with little botrytis  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1986,90,Drink,"Charming, lively and fresh; spicy and sweet  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1985,79,Past peak,Little botrytis character; clean and sweet  (See all ratings),France,Sauternes,Bordeaux/Sauternes
1984,68,Past peak,"A wet, difficult harvest; a few good wines  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1983,95,Drink,"Intense, complex and rich  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1982,77,Past peak,"Mostly fat, alcoholic and sweet  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1981,83,Past peak,Medium richness; finely balanced wines  (See all ratings),France,Sauternes,Bordeaux/Sauternes
1980,82,Past peak,"Good year; balanced, lightly botrytized wines  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1976,93,Drink,"Exotic, thick and powerful  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1975,94,Drink,"Harmonious, lively, spicy and sweet  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1971,91,Drink,"Supple, refined and long  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1967,97,Drink,"Classic; long-lived, everything is there  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1959,98,Drink,"Concentrated, lots of botrytis  (See all ratings)",France,Sauternes,Bordeaux/Sauternes
1994,85,Drink,"Medium-bodied, with good fruit and firm tannins  Château Clinet Pomerol  Top-scoring wines (click for full tasting note):


Château Le Pin Pomerol


Château Haut-Brion Pessac-Léognan


Château Clinet Pomerol",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1993,82,Past peak,"Good color, perfumy, fruity and balanced  Château Canon-La Gaffelière St.-Emilion  Top-scoring wines (click for full tasting note):


Pétrus Pomerol


Château La Fleur de Gay Pomerol


Château Canon-La Gaffelière St.-Emilion",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1992,72,Past peak,"Light, simple and often diluted; early maturing  Château Lafite Rothschild Pauillac  Top-scoring wines (click for full tasting note):


Château Latour Pauillac


Château Angélus St.-Emilion


Château Lafite Rothschild Pauillac",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1991,72,Past peak,"Lean, tough and light; stick to top names  Château Mouton-Rothschild Pauillac  Top-scoring wines (click for full tasting note):


Château Latour Pauillac


Château Léoville Las Cases St.-Julien


Château Mouton-Rothschild Pauillac",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1990,97,Drink,"Opulent, well-structured and harmonious  Château Beauséjour Duffau-Lagarosse St.-Emilion  Top-scoring wines (click for full tasting note):


Château Latour Pauillac


Château Le Pin Pomerol


Château Beauséjour Duffau-Lagarosse St.-Emilion",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1989,98,Drink,"Bold, dramatic fruit character; tannic and long-aging  Château Lafleur Pomerol  Top-scoring wines (click for full tasting note):


Château Haut-Brion Pessac-Léognan


Pétrus Pomerol


Château Lafleur Pomerol",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1988,93,Drink,"Racy, fruity wines, with firm tannins and typical structure; best in Pessac-Léognan, Pomerol and Pauillac  Château Lafleur Pomerol  Top-scoring wines (click for full tasting note):


Château Haut-Brion Pessac-Léognan


Château Latour Pauillac


Château Lafleur Pomerol",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
