Vintage,Score,Drink Window,Description,Country,Region,Variety
2011,86,Drink or hold,"Rare rainy harvest proved it can happen; few sunny spots, variable quality  (See all ratings)",United States,Napa,Cabernet
2010,96,Drink or hold,"Cool, steady year; wines show exceptional quality, tight, dense and layered  (See all ratings)",United States,Napa,Cabernet
2009,96,Drink or hold,"Late, cool year yielding a surprise bounty of pure, opulent wines  (See all ratings)",United States,Napa,Cabernet
2008,96,Drink or hold,Frost year lowered yields but not quality; unique for its depth and concentration  (See all ratings),United States,Napa,Cabernet
2007,97,Drink or hold,"Textbook year; small crop, ideal ripening, wines defined by complexity and plush tannins  (See all ratings)",United States,Napa,Cabernet
2006,95,Drink,"A late, cool harvest produced dense, concentrated and ageworthy wines  (See all ratings)",United States,Napa,Cabernet
2005,92,Drink,"Record-size crop; best are elegant and balanced, yet many are tannic and drying out  (See all ratings)",United States,Napa,Cabernet
2004,95,Drink or hold,"Small crop of exceptional quality; ripe, elegant, concentrated and harmonious  (See all ratings)",United States,Napa,Cabernet
2003,85,Past peak,Uneven ripeness; austere and tannic in style. More like 2000 than 2001 or 2002  (See all ratings),United States,Napa,Cabernet
2002,93,Drink,"Superb in Napa; dense and rich, rivaling 2001 for depth and complexity  (See all ratings)",United States,Napa,Cabernet
2001,93,Drink,Excellent weather; many stunning wines but also a few disappointments  (See all ratings),United States,Napa,Cabernet
2000,85,Past peak,"Mixed and a bit green overall, but some stellar wines that may be overlooked and undervalued  (See all ratings)",United States,Napa,Cabernet
1999,97,Drink,"Tremendous depth, concentration and structure from a cool, moderate year; ageworthy  (See all ratings)",United States,Napa,Cabernet
1998,84,Past peak,"Cool, damp year with mostly green, herbal wines marked by gritty tannins; few memorable bottles  (See all ratings)",United States,Napa,Cabernet
1997,99,Drink,"Huge crop of ripe, opulent, fleshy, concentrated wines, from near-perfect weather; super in Sonoma, too  (See all ratings)",United States,Napa,Cabernet
1996,96,Drink,"A sleeper, with a remarkable number of compelling wines; warm year with fine concentration and depth  (See all ratings)",United States,Napa,Cabernet
1995,97,Drink,"Surprisingly fine year, with wines marked by great flavors, balance and structure  (See all ratings)",United States,Napa,Cabernet
